object,blurLevel,exposureLevel,noiseLevel,chamferDistance,F0.1,F0.2,F0.5
pastry,none,none,high,0.10497459769248962,0.20744286477565765,0.5034178495407104,0.9983799457550049
pastry,none,low,none,0.12597842514514923,0.2001369297504425,0.5031212568283081,0.9724863171577454
pastry,none,high,none,0.27001988887786865,0.13293054699897766,0.3112329840660095,0.770147442817688
conch,none,none,none,0.08189976960420609,0.45094066858291626,0.7507469654083252,0.9696699380874634
conch,low,none,none,0.10867103189229965,0.26031938195228577,0.5392568707466125,0.9802512526512146
conch,high,none,none,0.10611728578805923,0.24408568441867828,0.5394904613494873,0.9759613871574402
conch,none,none,low,0.06827327609062195,0.49060773849487305,0.786019504070282,0.9838477373123169
conch,none,none,high,0.0805211067199707,0.4601171910762787,0.7133659720420837,0.9782976508140564
conch,none,low,none,0.08456374704837799,0.40462782979011536,0.7421593070030212,0.965277373790741
conch,none,high,none,0.10593967139720917,0.21147577464580536,0.4989156126976013,0.9763518571853638
chess,none,none,none,0.2635813057422638,0.14860214293003082,0.35886266827583313,0.8030222654342651
chess,low,none,none,0.2122536599636078,0.1791788637638092,0.3804614841938019,0.8659975528717041
chess,high,none,none,0.2081383913755417,0.1761586219072342,0.4072195887565613,0.8638705611228943
chess,none,none,low,0.21346227824687958,0.20750769972801208,0.4169071912765503,0.8794262409210205
chess,none,none,high,0.2154710590839386,0.1846764236688614,0.4008062183856964,0.8692604899406433
chess,none,low,none,0.23925507068634033,0.12913893163204193,0.3089308440685272,0.831750750541687
chess,none,high,none,0.25048738718032837,0.1257602721452713,0.2942982614040375,0.8280056118965149
