object,blurLevel,exposureLevel,noiseLevel,chamferDistance,F0.05,F0.075,F0.1
dinosaur,none,none,none,0.05313912406563759,0.19157592952251434,0.3414197266101837,0.47217950224876404
dinosaur,low,none,none,0.03134993091225624,0.22265245020389557,0.408102810382843,0.5662948489189148
dinosaur,high,none,none,0.0408758670091629,0.1559026688337326,0.28774869441986084,0.4220561385154724
dinosaur,none,none,low,0.05879855901002884,0.0787980780005455,0.16569337248802185,0.2698574960231781
dinosaur,none,none,high,0.11125794053077698,0.04605453088879585,0.09624399989843369,0.15486706793308258
dinosaur,none,low,none,0.04676780849695206,0.20680803060531616,0.36160382628440857,0.5003260374069214
dinosaur,none,high,none,0.05047537386417389,0.22099360823631287,0.3749903738498688,0.4919569194316864
green_bean_cake,none,none,none,0.05291493982076645,0.1803618222475052,0.3488213121891022,0.4805617928504944
green_bean_cake,low,none,none,0.11024950444698334,0.0571204237639904,0.09984276443719864,0.1454661339521408
green_bean_cake,high,none,none,0.10326150804758072,0.07106050848960876,0.11644972115755081,0.16013336181640625
green_bean_cake,none,none,low,0.05583434924483299,0.1255941540002823,0.26467275619506836,0.3960505723953247
green_bean_cake,none,none,high,0.051068149507045746,0.11411836743354797,0.2474946528673172,0.39380812644958496
green_bean_cake,none,low,none,0.058142464607954025,0.12196163833141327,0.2590197026729584,0.39018577337265015
green_bean_cake,none,high,none,0.06548570841550827,0.10986442118883133,0.23559899628162384,0.3487898111343384
skateboard,none,none,none,0.19935555756092072,0.0034298780374228954,0.03239767625927925,0.0700555071234703
skateboard,low,none,none,0.2489253282546997,0.0,0.0,0.012411483563482761
skateboard,high,none,none,0.2894643247127533,0.0,0.0003348214377183467,0.017748786136507988
skateboard,none,none,low,0.1650695502758026,0.031502868980169296,0.07803050428628922,0.16142751276493073
skateboard,none,none,high,0.20185038447380066,0.04687253385782242,0.09503363817930222,0.18825754523277283
skateboard,none,low,none,0.20716339349746704,0.011444306001067162,0.047361087054014206,0.0890093445777893
skateboard,none,high,none,0.18945589661598206,0.06509942561388016,0.12218332290649414,0.18677128851413727
pastry,none,none,none,0.20743981003761292,0.0750138908624649,0.13880331814289093,0.20254985988140106
pastry,low,none,none,0.13042670488357544,0.056856051087379456,0.12365174293518066,0.19684748351573944
pastry,high,none,none,0.26607921719551086,0.040919750928878784,0.09431768208742142,0.14761365950107574
pastry,none,none,low,0.11125656962394714,0.05624999850988388,0.12664201855659485,0.21679073572158813
pastry,none,none,high,0.10497459769248962,0.06156090274453163,0.13749581575393677,0.20744286477565765
pastry,none,low,none,0.12597842514514923,0.06230340898036957,0.12518416345119476,0.2001369297504425
pastry,none,high,none,0.27001991868019104,0.046879593282938004,0.08727484941482544,0.13293054699897766
conch,none,none,none,0.08189976960420609,0.1677851378917694,0.3065008521080017,0.45094066858291626
conch,low,none,none,0.10867103934288025,0.12332373857498169,0.19382226467132568,0.26031938195228577
conch,high,none,none,0.10611727833747864,0.09970701485872269,0.1655925214290619,0.24408568441867828
conch,none,none,low,0.06827328354120255,0.2085253745317459,0.3669838309288025,0.49060773849487305
conch,none,none,high,0.0805211067199707,0.18352772295475006,0.34421640634536743,0.4601171910762787
conch,none,low,none,0.08456374704837799,0.15120171010494232,0.2827405035495758,0.40462782979011536
conch,none,high,none,0.10593967884778976,0.08937356621026993,0.14654269814491272,0.21147577464580536
chess,none,none,none,0.2635812759399414,0.04043968766927719,0.09042106568813324,0.14860214293003082
chess,low,none,none,0.21225367486476898,0.06249415501952171,0.12289296835660934,0.1791788637638092
